Brand_names,Chinese_names,English_names,Whole_info,Years,Score_number,Reply_number
皇家香氛,None,Parfums Regence Eau De Regence,前调：中调：后调：,None,None,0
皇家香氛,None,Parfums Regence Lavandou,气味：薰衣草,None,None,0
皇家香氛,None,Parfums Regence Lavendou,前调：中调：后调：,None,None,0
皇家香氛,None,Parfums Regence Vert Regence,前调：中调：后调：,None,None,0
皇家香氛,None,Parfums Regence Santal,前调：中调：后调：,None,None,0
皇家香氛,None,Parfums Regence Oakmoss,"气味：香柠檬,薰衣草,广藿香,白松香,劳丹脂,橡木苔",None,None,0
皇家香氛,None,Parfums Regence Kolnisch Juchten,前调：中调：后调：,None,None,0
皇家香氛,None,Parfums Regence Eau De Regence,"气味：柑橘,果香",None,None,0
皇家香氛,None,Parfums Regence Santal,气味：檀香木,None,None,0
皇家香氛,None,Parfums Regence Kolnisch Juchten,"气味：乳香,闭鞘姜,皮革,麝香",None,None,0
皇家香氛,None,Parfums Regence Oakmoss,前调：中调：后调：,None,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Jimmy,"前调：柠檬,依兰中调：玫瑰,老鹳草后调：紫罗兰叶,天芥菜,檀香木",2013,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Lampblack,"前调：胡椒,橙子中调：葡萄柚后调：莎草,安息香脂,香根草",2013,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Room ,"气味：小雏菊,乙烯基,当归,红没药,闭鞘姜,绿叶,花香,麝香",2015,None,0
布鲁诺·法兹拉瑞,None,· Au Dela - Narcisse des Montagnes Bruno Fazzolari Au Delà Narcisse,"气味：香柠檬,水仙花,茉莉,橡木苔,橙花,琥珀",2014,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Au Dela,"前调：芫荽中调：橙花油,茉莉后调：橙花,琥珀,树脂,橡木苔",2013,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Seyrig,"前调：醛,橘子中调：依兰,玫瑰,铃兰,丁香花后调：橡木苔,麝香",2015,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Feu Secret,"气味：鸢尾根,云杉,尤加利,姜黄,粉红胡椒,雪松,桦木",2017,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Monserrat,"前调：葡萄柚,胡萝卜籽中调：杏,绿叶,茉莉后调：龙涎香,麝香,石膏",2013,None,0
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Five,"前调：柠檬,橙子中调：迷迭香,苦橙叶后调：木质香",2013,None,0
布鲁诺·法兹拉瑞,None,·  Bruno Fazzolari Vetiverissimo,"气味：辛香料,香根草,雪松,树脂,木质香",2018,None,0
布鲁诺·法兹拉瑞,None,·  Bruno Fazzolari Vetiverissimo,"气味：辛香料,香根草,雪松,树脂,木质香",2018,None,0
